0;0;0;0;land;false;unknown;0
1;244;208;122;land;false;hills;1
2;102;213;186;land;false;hills;1
3;191;172;240;land;false;mountain;1
4;232;58;219;land;false;forest;1
5;218;127;214;land;true;plains;1
6;27;248;254;land;false;plains;1
7;251;205;177;land;false;hills;1
8;249;75;223;land;false;hills;1
9;165;218;175;land;false;plains;1
10;171;163;175;land;true;forest;1
11;229;182;119;land;false;plains;1
12;234;87;189;land;false;plains;1
13;243;236;195;land;false;plains;1
14;142;129;230;land;false;plains;1
15;252;103;159;land;false;plains;1
16;191;209;230;land;false;hills;1
17;229;179;111;land;false;plains;1
18;234;225;201;land;false;plains;1
19;229;224;243;land;false;plains;1
20;219;234;122;land;false;plains;1
21;197;230;111;land;false;forest;1
22;117;247;217;land;false;hills;1
23;254;231;138;land;true;plains;1
24;234;198;175;land;false;hills;1
25;229;234;78;land;false;plains;1
26;252;249;243;land;false;hills;1
27;239;155;176;land;false;plains;1
28;108;250;253;land;false;hills;1
29;83;234;223;land;false;plains;1
30;134;250;131;land;false;plains;1
31;190;231;243;land;true;plains;1
32;130;176;231;land;true;plains;1
33;237;210;89;land;false;plains;1
34;146;244;162;land;false;hills;1
35;151;231;241;land;false;plains;1
36;219;132;241;land;false;hills;1
37;246;225;54;land;false;hills;1
38;228;127;198;land;false;plains;1
39;234;250;223;land;false;hills;1
40;173;220;207;land;false;forest;1
41;212;211;240;land;false;hills;1
42;118;249;212;land;true;mountain;1
43;205;248;208;land;false;hills;1
44;103;250;183;land;true;plains;1
45;243;219;159;land;false;plains;1
46;185;222;143;land;false;plains;1
47;206;170;185;land;false;plains;1
48;228;124;216;land;false;plains;1
49;201;227;201;land;true;plains;1
50;150;229;152;land;false;plains;1
51;242;251;14;land;false;hills;1
52;234;220;189;land;false;plains;1
53;247;247;147;land;false;plains;1
54;195;140;219;land;false;plains;1
55;97;202;212;land;false;plains;1
56;246;164;198;land;false;plains;1
57;159;178;221;land;false;plains;1
58;213;160;132;land;false;hills;1
59;241;133;243;land;false;hills;1
60;223;198;169;land;false;plains;1
61;136;219;220;land;false;hills;1
62;166;231;178;land;false;hills;1
63;226;216;69;land;false;hills;1
64;199;248;74;land;false;plains;1
65;234;225;251;land;true;forest;1
66;202;201;243;land;false;hills;1
67;184;127;251;land;false;hills;1
68;125;200;201;land;false;plains;1
69;154;117;244;land;false;forest;1
70;222;197;190;land;false;mountain;1
71;247;220;234;land;false;plains;1
72;197;184;253;land;false;hills;1
73;208;158;225;land;false;plains;1
74;222;227;105;land;false;hills;1
75;219;80;241;land;false;hills;1
76;250;153;196;land;false;hills;1
77;228;253;109;land;false;hills;1
78;125;154;223;land;false;plains;1
79;135;250;182;land;false;hills;1
80;184;224;223;land;false;plains;1
81;189;72;250;land;false;hills;1
82;251;235;152;land;false;plains;1
83;114;164;237;land;false;plains;1
84;101;247;173;land;false;hills;1
85;231;246;253;land;false;forest;1
86;223;212;138;land;false;forest;1
87;247;154;125;land;false;plains;1
88;254;146;207;land;false;plains;1
89;190;166;169;land;false;hills;1
90;177;187;214;land;false;plains;1
91;103;168;244;land;true;forest;1
92;209;195;226;land;false;plains;1
93;246;112;183;land;false;hills;1
94;87;218;196;land;false;hills;1
95;191;154;223;land;false;plains;1
96;168;94;243;land;false;plains;1
97;150;254;106;land;false;hills;1
98;105;245;199;land;false;hills;1
99;237;243;136;land;false;hills;1
100;214;153;222;land;false;plains;1
101;206;187;117;land;false;hills;1
102;242;211;101;land;false;plains;1
103;205;221;187;land;false;plains;1
104;163;149;224;land;false;plains;1
105;249;170;140;land;false;plains;1
106;225;104;191;land;false;plains;1
107;212;208;156;land;false;plains;1
108;200;107;222;land;false;hills;1
109;131;177;210;land;false;plains;1
110;195;102;229;land;false;plains;1
111;239;170;151;land;false;plains;1
112;137;207;248;land;false;hills;1
113;209;177;173;land;false;plains;1
114;147;253;242;land;false;plains;1
115;155;172;174;land;false;plains;1
116;205;169;188;land;false;plains;1
117;83;250;240;land;false;plains;1
118;115;199;251;land;false;plains;1
119;243;233;250;land;false;plains;1
120;177;167;191;land;true;forest;1
121;54;237;222;land;false;plains;1
122;216;181;181;land;false;plains;1
123;128;145;243;land;false;hills;1
124;217;253;206;land;false;hills;1
125;177;201;195;land;false;hills;1
126;235;227;232;land;true;plains;1
127;218;107;254;land;false;plains;1
128;215;235;75;land;false;hills;1
129;100;184;227;land;false;plains;1
130;115;210;226;land;false;hills;1
131;191;200;143;land;false;plains;1
